Age,Gender,Tenure/Duration/Ageing,Qualification,Current Occupation/Job,Agency Type,Interim Number of Policies issued,Number of policies rated up,First Years Premium,Renewal Premium,Commission Clawback, Product Type=Risk,Avg TAT for Risk Product, Product Type=Investment,Avg TAT for Investment Product, Product Type=Annuity,Avg TAT for Annuity Product,Renewal commission,Deviation from target policies,Training & DevelopmentRandom NumberMe,Agency Portal usage,Unit Manager,Quotes requested,Agency survery-Satisfaction,No Policy Cancellation-FLC ,Number of Compliants received,Number of Claims Declined,Hit Ratio,Number of policies declined,Label
34,2,14,Post Graduate,Business,Captive,245,8,67340,87230,0,78,7,81,1,86,2,6543,-99,3,High,AnitaMarshall,611,3,0,0,0,0.742316785,0,1
47,1,26,Post Graduate,Consultant,Independent,443,6,66159,81999,0,50,7,51,3,76,0,6150,-214,3,Medium,DebraCollin,177,10,0,0,0,0.348837209,1,2
51,1,23,Post Graduate,Teacher,Independent,332,10,52939,76165,0,110,11,106,2,116,0,5713,39,6,Low,PabloChelsea,347,3,0,3,1,2.408536585,0,2
27,1,6,Post Graduate,Architect,Independent,449,0,74842,84057,0,101,6,98,1,117,1,6305,-106,1,High,ClaudioSherwood,443,6,3,0,0,0.540308748,2,2
23,1,0,Graduate,Software Developer,Captive,385,12,82905,84656,9820,119,11,116,1,150,0,6350,-13,5,Medium,SpencerJarod,513,3,0,0,3,2.317919075,0,1
29,1,4,Post Graduate,Engineer,Captive,563,8,70580,91055,9056,73,11,86,4,101,2,6830,-354,2,High,MarcAlec,588,3,3,5,2,0.360110803,0,1
42,1,1,Post Graduate,Architect,Captive,476,0,61423,77222,5201,87,11,93,4,102,1,5792,-250,3,Low,KristopherRolando,495,1,3,0,0,0.681693989,2,1
40,1,10,Graduate,Engineer,Independent,570,0,77990,86396,0,37,9,38,1,52,0,6480,-371,6,High,AlphonsoTasha,595,6,1,0,0,0.40922619,0,2
53,1,13,Graduate,Proffessor,Independent,524,0,96780,95003,0,100,10,97,1,106,0,7126,-297,2,Low,MavisJanelle,583,5,0,0,1,0.706153846,2,1
40,1,15,Graduate,Teacher,Captive,640,11,84051,78378,6451,104,10,114,4,128,2,5879,-368,1,High,JacquelynLonny,548,1,3,1,0,0.477839335,0,1
44,2,8,Post Graduate,Driver,Independent,218,0,89208,76229,0,42,6,40,2,55,2,5718,-111,6,Low,MontyBuddy,137,7,1,2,0,3.129770992,0,1
36,1,3,Post Graduate,Doctor,Independent,312,10,54073,96850,6482,94,11,100,0,119,1,7264,-47,3,High,DeandreAimee,641,7,0,3,0,0.694700461,3,1
41,1,14,Graduate,Consultant,Captive,547,0,63479,91415,5365,131,6,115,0,164,1,6857,-142,4,High,AdrienneElliott,410,5,0,2,3,0.702970297,0,1
28,1,6,Post Graduate,Consultant,Independent,234,4,71003,95257,6069,38,7,38,0,55,1,7145,-143,6,Medium,KimberlyCasandra,401,10,0,0,0,0.58801956,1,1
29,1,10,Post Graduate,Software Developer,Captive,311,4,60661,96673,5813,39,8,39,0,44,0,7251,-108,3,Medium,KimberlyCasandra,365,7,0,2,1,0.516998828,0,2
39,1,12,Graduate,Software Developer,Captive,240,0,96784,94140,8145,79,10,77,0,84,1,7061,-67,2,Medium,DwightNeva,455,5,0,0,0,1.329081633,0,1
21,1,3,Graduate,Pilot,Captive,275,0,93448,87198,5965,46,6,49,2,54,1,6540,-58,6,Low,MayraAbram,221,3,0,0,0,1.856031128,0,2
34,1,10,Graduate,Business,Captive,497,10,62394,90891,0,92,9,105,1,120,0,6817,-122,4,Low,DebraCollin,639,8,3,0,1,0.386585366,0,2
53,1,33,Graduate,Proffessor,Independent,458,0,94963,93889,0,49,11,46,2,64,0,7042,-355,6,Medium,AnitaMarshall,245,1,0,0,0,0.244239631,1,1
57,1,10,Graduate,Doctor,Captive,263,6,83127,87088,0,52,10,52,2,82,1,6532,-36,5,Low,DavidLuella,474,5,0,3,1,1.103125,0,2
46,1,10,Post Graduate,Consultant,Independent,205,0,57511,96960,7119,56,7,56,0,63,1,7272,-52,1,Medium,MavisJanelle,176,9,0,0,0,0.621212121,0,1
30,1,8,Graduate,Proffessor,Captive,622,12,92919,89856,9917,114,7,122,4,158,2,6740,-144,5,Low,HymanRory,394,5,4,1,2,0.804709141,2,2
47,1,16,Graduate,Architect,Captive,642,0,58254,97068,0,98,11,101,0,117,2,7281,-354,3,Medium,BrandiSharlene,326,1,3,0,0,5.272727273,0,1
57,1,21,Post Graduate,Engineer,Captive,492,9,58973,85633,0,91,8,86,3,100,2,6423,-160,2,High,DomenicHerman,490,7,0,3,1,0.615479115,2,2
29,1,9,Graduate,Doctor,Captive,540,6,99938,79640,0,64,8,62,2,74,1,5973,-363,5,Low,HarveyMelisa,199,10,2,0,0,0.308788599,1,1
46,1,24,Post Graduate,Software Developer,Independent,365,10,66061,82776,0,103,11,100,1,129,0,6209,18,4,Medium,VickieMai,644,6,3,2,0,1.070686071,2,2
33,1,3,Graduate,Doctor,Independent,645,8,85387,77817,0,80,9,82,1,104,0,5837,-354,1,Medium,HymanRory,266,2,3,0,0,0.925170068,0,2
52,1,2,Graduate,Architect,Independent,444,0,99375,93001,0,72,8,69,4,76,2,6976,-159,5,High,PollyGene,313,8,0,0,1,0.982698962,2,2
54,1,5,Graduate,Pilot,Captive,590,7,83258,91912,0,64,6,66,1,77,0,6894,-394,2,High,BusterNadia,649,10,0,0,0,0.346733668,2,1
25,1,5,Post Graduate,Engineer,Captive,302,0,55877,92642,6959,97,7,97,1,109,1,6949,48,3,Medium,MayraAbram,307,2,0,1,3,3.939597315,0,2
51,1,12,Graduate,Doctor,Captive,156,5,96403,91792,8045,44,10,51,1,61,1,6885,44,4,Medium,YoungMicah,328,9,2,1,2,0.61136891,0,2
51,2,26,Post Graduate,Driver,Captive,410,7,68254,77903,0,59,11,57,0,87,1,5843,-153,4,High,TracieSasha,202,2,0,1,0,0.411458333,2,2
44,2,3,Graduate,Software Developer,Independent,244,8,60297,94773,0,78,9,75,4,82,2,7108,-34,1,Medium,MavisJanelle,235,3,0,2,0,0.386178862,0,1
43,1,11,Graduate,Driver,Captive,262,0,54518,75235,0,43,8,40,1,46,2,5643,-159,4,High,MagdalenaCarmen,129,10,0,0,0,0.793017456,0,1
22,1,3,Graduate,Software Developer,Captive,451,0,60596,93399,0,40,7,38,0,56,2,7005,-332,3,Medium,MontyBuddy,134,7,0,3,0,0.686728395,1,1
47,1,15,Post Graduate,Doctor,Independent,263,0,89779,89196,0,87,10,74,2,103,1,6690,65,6,Medium,PrinceWill,279,3,3,0,0,2.439189189,2,2
44,2,23,Post Graduate,Consultant,Independent,490,0,58616,86008,0,137,7,137,4,216,2,6451,-21,3,High,JohnathanLydia,592,10,0,0,2,1.704615385,3,1
25,2,5,Graduate,Doctor,Captive,592,13,73595,89738,6414,126,10,130,3,150,1,6731,-102,3,High,MiaMarissa,405,5,4,0,0,0.699879952,0,2
59,2,9,Graduate,Pensioner,Captive,634,10,62030,95756,0,98,11,95,3,134,0,7182,-396,4,High,AnitaMarshall,641,1,0,3,0,0.868065967,2,1
24,1,2,Graduate,Doctor,Independent,216,7,86971,84771,0,60,10,67,4,89,1,6358,53,5,High,KristopherRolando,591,1,0,2,1,2.690789474,0,2
31,1,6,Post Graduate,Architect,Captive,345,0,94886,77025,8191,42,6,48,3,60,1,5777,-251,6,High,AlphonsoTasha,151,4,0,2,0,1.256097561,0,1
55,1,4,Graduate,Doctor,Independent,141,5,97359,91732,9550,39,6,42,3,59,1,6880,63,4,Medium,LouellaJosue,571,10,0,1,0,0.678308824,0,2
57,1,4,Graduate,Architect,Captive,398,6,81262,87039,0,48,11,56,4,67,1,6528,-297,1,Medium,DomenicHerman,326,3,0,4,1,0.342685371,0,1
57,1,1,Post Graduate,Pensioner,Independent,313,6,53692,84567,0,57,7,59,1,68,1,6343,-187,1,High,SpencerJarod,551,3,0,4,0,0.5,0,1
24,1,3,Graduate,Consultant,Independent,299,0,56256,99770,0,99,7,99,3,102,2,7483,-49,3,High,BusterNadia,373,1,3,0,0,2.214574899,0,1
52,1,2,Post Graduate,Pilot,Independent,571,0,62032,97256,0,44,6,44,0,69,1,7295,-369,2,Low,DarrylErnie,312,1,0,0,0,1.90797546,0,2
39,1,20,Graduate,Proffessor,Independent,486,14,56329,93570,0,145,8,127,2,181,1,7018,-13,2,Low,JohnathanLydia,494,4,5,0,0,0.92776886,3,2
34,2,5,Post Graduate,Pensioner,Captive,416,0,71252,78389,0,88,6,77,1,101,0,5880,-164,4,Low,CasandraPaulette,446,10,0,0,3,1.992537313,0,1
49,2,13,Graduate,Engineer,Captive,578,8,69464,96942,0,88,7,85,2,93,1,7271,-392,2,Low,DavidLuella,528,9,3,0,1,0.348623853,0,1
44,2,24,Post Graduate,Pilot,Captive,385,5,82059,99781,8042,44,6,44,4,54,1,7484,-150,5,Low,HymanRory,403,3,0,0,0,1.442080378,0,2
30,1,6,Graduate,Proffessor,Independent,587,5,50232,98212,0,46,10,41,0,56,1,7366,-346,2,Low,HarveyMelisa,143,8,1,1,0,0.221642764,0,2
32,1,2,Graduate,Pensioner,Independent,642,5,56860,80474,7387,45,10,45,4,55,2,6036,-500,2,Medium,MayraAbram,144,10,0,5,0,0.559837728,1,1
60,1,10,Post Graduate,Doctor,Captive,412,7,98341,92286,6534,63,8,68,2,87,0,6922,-157,3,High,DorisTristan,310,8,0,5,0,0.944732297,2,2
57,1,29,Post Graduate,Software Developer,Captive,284,8,86040,86655,8633,82,6,71,1,102,2,6500,-105,6,Medium,KristopherRolando,504,7,0,3,3,0.561111111,2,1
43,1,17,Post Graduate,Driver,Captive,284,0,94279,92783,0,52,8,51,4,60,2,6959,-178,1,Medium,ClaudioSherwood,424,2,0,0,0,0.250769231,1,1
37,1,16,Post Graduate,Proffessor,Captive,361,8,58383,78224,0,80,10,77,2,85,1,5867,-25,4,High,DarrylErnie,582,3,0,0,0,0.675893887,0,2
27,2,1,Graduate,Pensioner,Captive,468,10,69940,88583,0,91,10,88,3,125,2,6644,-176,4,Low,DavidLuella,550,3,0,2,0,0.371184371,0,1
53,1,18,Graduate,Business,Independent,343,0,68330,76838,0,42,8,44,3,51,2,5763,-180,5,Medium,VickieMai,467,1,1,1,0,0.318604651,0,2
38,1,14,Post Graduate,Teacher,Independent,428,13,71702,78453,8537,117,6,125,4,162,2,5884,30,4,Low,HarveyMelisa,551,6,4,0,3,3.516778523,3,2
38,1,7,Post Graduate,Business,Independent,207,0,67564,95311,7975,58,9,64,1,85,2,7149,50,5,Medium,BusterNadia,514,8,0,1,0,1.242307692,2,2
40,2,9,Graduate,Pensioner,Captive,539,9,53626,78734,0,88,10,91,2,114,2,5906,-277,2,Medium,YoungMicah,501,5,3,5,0,0.360493827,0,1
47,1,8,Post Graduate,Pensioner,Captive,360,10,75374,79499,0,109,10,96,4,126,2,5963,-98,5,Medium,MontyBuddy,331,7,3,3,0,2.858064516,0,1
58,2,30,Graduate,Pensioner,Captive,325,0,66515,80570,8634,91,9,91,4,143,0,6043,-82,2,Medium,LorenzoJohanna,547,10,3,5,1,0.997304582,0,1
44,1,0,Graduate,Software Developer,Captive,528,0,70479,94932,0,64,6,66,4,90,0,7120,-371,2,Medium,MarcAlec,358,7,2,0,0,0.645985401,2,1
24,1,6,Post Graduate,Pilot,Independent,170,0,77718,89455,0,56,8,54,1,60,2,6710,-25,3,High,DiegoJane,237,2,0,4,0,0.774368231,0,1
29,1,2,Post Graduate,Pensioner,Independent,225,7,52958,92123,0,65,11,70,1,90,2,6910,95,6,High,LorenzoJohanna,318,2,0,0,2,1.306763285,2,2
42,2,10,Post Graduate,Engineer,Independent,181,0,90039,98852,0,56,9,54,1,71,0,7414,50,1,High,KeriLamont,590,3,2,0,1,1.862745098,2,2
59,1,23,Post Graduate,Architect,Independent,390,5,50785,79908,0,40,11,40,2,62,2,5994,-275,6,Medium,AlphonsoTasha,142,1,0,0,0,0.523216308,0,1
39,1,4,Graduate,Engineer,Captive,527,0,59410,96233,7647,75,6,73,2,87,1,7218,-350,2,Medium,BillyJerry,577,4,2,1,0,0.389207807,0,1
24,2,1,Post Graduate,Pilot,Independent,139,0,87609,97817,0,39,8,43,0,57,0,7337,53,5,High,CasandraPaulette,313,3,0,1,1,0.630841121,0,2
51,1,22,Post Graduate,Doctor,Independent,625,0,98917,92779,0,38,7,42,0,51,2,6959,-471,6,Low,MontyBuddy,528,7,0,0,0,0.451923077,1,2
42,1,5,Graduate,Pilot,Independent,159,5,98314,80009,5667,52,10,49,2,57,1,6001,-97,5,Medium,DarrylErnie,415,2,0,0,0,0.591036415,0,1
47,1,5,Post Graduate,Software Developer,Independent,352,0,61322,89540,8108,100,8,91,1,133,0,6716,-37,1,Medium,ClaudioSherwood,324,9,0,0,1,1.050704225,0,1
56,1,29,Graduate,Teacher,Captive,173,0,58380,84352,9682,55,9,52,2,66,2,6327,22,2,High,MiaMarissa,391,10,0,1,0,1.657534247,2,2
23,1,3,Graduate,Architect,Independent,180,6,99016,77862,8218,54,9,54,1,72,0,5840,-95,4,High,WilburErnestine,510,3,0,2,0,0.712778429,0,1
55,1,26,Post Graduate,Engineer,Captive,203,7,96442,95036,0,57,9,63,3,83,1,7128,34,5,Low,BillyJerry,295,3,2,0,1,0.540612517,2,2
38,1,1,Post Graduate,Business,Independent,342,0,84444,92607,0,83,6,85,1,91,1,6946,-111,6,Medium,AmyShaun,393,1,3,3,1,0.753642384,2,1
38,2,17,Post Graduate,Doctor,Independent,632,6,52386,91969,5989,58,10,60,2,64,2,6898,-459,3,Low,DomenicHerman,249,9,0,5,0,0.220072551,1,1
31,1,6,Graduate,Pilot,Captive,280,9,55581,88533,0,91,6,80,2,105,2,6640,-4,4,Low,LouellaJosue,276,4,0,4,3,0.697156984,0,1
28,1,10,Post Graduate,Proffessor,Independent,593,0,62369,80624,7218,72,9,74,3,78,1,6047,-280,5,Low,MiaMarissa,599,4,0,3,0,0.843347639,0,2
34,1,6,Graduate,Pilot,Independent,539,0,86805,78622,0,62,6,58,4,87,0,5897,-402,2,Medium,MagdalenaCarmen,206,6,2,1,0,0.94041868,0,1
25,1,5,Graduate,Teacher,Captive,417,4,50497,97327,7341,40,10,42,3,46,2,7300,-319,5,Medium,LoreneIsiah,221,7,0,0,1,0.612429379,1,1
52,1,3,Graduate,Pensioner,Independent,610,12,53305,90274,5063,108,11,116,3,163,0,6771,-162,2,Low,SpencerJarod,545,4,0,0,0,1.438888889,2,2
33,1,5,Post Graduate,Proffessor,Independent,455,8,73878,81466,0,86,6,84,4,92,2,6110,-241,1,High,MavisJanelle,459,8,3,5,2,0.552023121,2,1
22,1,3,Graduate,Pilot,Captive,567,5,79270,84945,0,51,6,43,1,60,2,6371,-360,6,Medium,DarrylErnie,155,7,0,0,0,0.458015267,1,2
24,1,4,Graduate,Pilot,Captive,280,0,74383,95717,6226,65,9,65,1,86,0,7179,-125,1,Low,DwightNeva,371,6,0,0,1,1.44295302,0,1
52,1,20,Post Graduate,Doctor,Independent,145,5,51418,88468,8317,45,10,41,4,59,0,6636,-29,3,Low,AmyShaun,587,5,1,0,0,1.421052632,3,1
23,1,5,Post Graduate,Architect,Independent,319,0,92951,75682,0,55,10,60,0,80,0,5677,-155,4,Medium,AhmedMisty,195,3,2,5,0,1.081936685,1,1
57,1,27,Graduate,Software Developer,Independent,475,0,63307,85997,0,62,10,69,0,91,1,6450,-289,2,Medium,DebraCollin,223,1,2,3,0,1.352941176,2,1
25,2,3,Post Graduate,Business,Captive,509,6,71372,83764,7947,55,8,60,2,68,1,6283,-370,5,Low,JudyAlden,433,8,0,3,1,0.515492958,0,1
57,1,30,Post Graduate,Software Developer,Captive,245,0,53189,99948,6417,71,11,69,2,76,0,7497,13,3,High,HarveyMelisa,552,7,0,1,0,0.271698113,0,2
24,1,4,Post Graduate,Driver,Captive,308,0,89956,87840,8842,95,7,95,0,117,1,6588,-90,1,High,TwilaBradley,388,7,3,3,0,3.023584906,2,1
44,1,16,Graduate,Architect,Independent,147,0,82314,94236,0,41,11,47,1,59,2,7068,58,4,High,DarrylErnie,492,2,1,4,1,0.907815631,3,2
37,1,9,Graduate,Proffessor,Independent,621,0,95545,99990,0,45,9,48,3,52,2,7500,-387,4,Low,RobertoJeremy,144,8,1,0,0,0.410958904,1,2
50,1,2,Post Graduate,Proffessor,Captive,496,0,51534,88301,7022,36,6,38,3,47,1,6623,-412,1,Low,MiaMarissa,344,10,1,0,0,1.140510949,0,1
60,1,20,Post Graduate,Doctor,Independent,602,0,78688,93945,0,66,6,61,4,85,1,7046,-302,4,Medium,MiaMarissa,439,6,0,0,0,1.408695652,0,2
23,1,0,Post Graduate,Pensioner,Independent,431,13,76465,77597,8884,142,7,142,1,147,2,5820,77,4,Low,TwilaBradley,471,4,4,4,3,0.589473684,3,2
23,2,1,Graduate,Pensioner,Captive,568,0,61492,76929,0,118,6,107,1,132,0,5770,-276,3,Low,WilburErnestine,529,6,0,0,1,0.43236715,2,1
45,2,26,Graduate,Pilot,Captive,127,4,62741,90758,0,41,6,41,0,46,2,6807,37,2,Low,ClaudioSherwood,334,5,1,0,0,0.789473684,2,2
27,1,1,Graduate,Engineer,Captive,286,0,60247,99430,0,67,10,67,4,69,1,7458,-141,3,High,PollyGene,202,9,0,2,1,1.00811359,2,1
46,2,10,Graduate,Driver,Independent,577,9,94263,81484,7129,78,11,80,0,110,2,6112,-247,2,Medium,ChandraDante,280,6,0,4,0,1.41959799,0,2
30,1,12,Graduate,Consultant,Independent,301,0,51439,76053,0,99,11,96,0,105,1,5704,85,1,High,PrinceWill,525,2,0,5,1,2.420454545,0,2
48,1,1,Post Graduate,Consultant,Independent,372,0,91171,92286,8746,59,9,59,3,93,2,6922,-74,5,High,DarrylErnie,618,9,2,4,0,0.334920635,2,2
29,1,8,Post Graduate,Engineer,Captive,195,0,93970,85996,5937,64,8,64,1,66,0,6450,-57,5,Medium,MarcAlec,494,8,0,0,0,0.391304348,0,1
27,1,4,Graduate,Engineer,Independent,229,0,67689,76829,6148,71,9,71,0,87,1,5763,68,2,Medium,YoungMicah,265,10,0,4,0,0.725925926,0,2
29,2,4,Graduate,Pilot,Captive,256,8,69687,90053,8719,82,11,84,0,90,1,6754,-24,6,High,RobertoJeremy,361,5,0,0,3,0.653021442,2,1
53,1,3,Post Graduate,Pilot,Captive,292,5,57230,97006,0,42,11,39,3,54,0,7276,-130,4,Low,HymanRory,516,8,0,4,0,0.707089552,0,2
28,1,5,Graduate,Proffessor,Independent,518,8,54132,98719,0,75,7,83,3,101,2,7404,-316,1,High,ClaudioSherwood,582,9,3,0,0,0.494296578,0,1
59,1,16,Graduate,Teacher,Captive,354,0,88472,75111,8843,61,7,55,0,68,1,5634,-268,3,High,MarcAlec,255,8,0,0,0,0.764044944,0,1
37,2,15,Graduate,Business,Captive,528,6,69534,84748,5764,60,7,51,2,71,2,6357,-257,5,High,DebraCollin,533,3,0,0,1,1.185294118,0,2
56,1,34,Graduate,Proffessor,Independent,199,0,73239,84721,5682,51,7,49,0,59,0,6355,-131,1,Low,MagdalenaCarmen,159,10,0,0,0,0.387459807,1,1
43,1,24,Post Graduate,Proffessor,Captive,434,0,92669,98098,6435,90,6,93,0,128,2,7358,-162,1,Low,DeandreAimee,515,2,0,0,2,0.79093199,0,1
54,2,10,Post Graduate,Pilot,Independent,160,5,97762,86015,5795,45,10,48,2,67,2,6452,-8,2,High,BillyJerry,624,5,2,1,0,1.037623762,2,1
50,1,14,Post Graduate,Consultant,Captive,260,8,95158,91561,9106,78,6,83,0,99,0,6868,27,5,High,LorenzoJohanna,636,2,0,0,0,0.990272374,0,2
42,1,10,Graduate,Engineer,Captive,584,0,99124,86286,9712,39,10,39,3,48,2,6472,-358,1,High,PabloChelsea,126,6,0,1,0,0.180481283,0,2
22,1,2,Post Graduate,Consultant,Independent,185,0,94855,80399,0,56,8,54,1,76,2,6030,-84,5,Medium,LorenzoJohanna,417,3,0,4,0,0.904555315,0,1
42,2,16,Post Graduate,Pilot,Independent,334,5,99931,75206,0,45,9,44,0,48,1,5641,-243,3,High,DavidLuella,137,9,0,5,1,0.288888889,1,1
50,2,17,Graduate,Architect,Independent,273,0,61065,76230,0,48,7,48,0,69,2,5718,-73,4,High,AlphonsoTasha,359,6,0,0,0,0.546357616,1,2
46,1,14,Post Graduate,Doctor,Independent,402,0,58775,80017,0,75,7,83,0,101,1,6002,-93,1,Medium,DarrylErnie,567,1,3,2,1,0.691489362,2,2
35,1,1,Graduate,Engineer,Captive,549,8,52066,97891,0,67,7,72,1,101,0,7342,-276,1,Medium,BillyJerry,494,10,0,5,0,1.110599078,0,2
27,1,2,Graduate,Doctor,Captive,620,8,57763,87430,8460,83,10,78,1,99,2,6558,-313,4,Low,JacquelynLonny,260,2,0,3,0,1.875389408,0,2
27,1,9,Graduate,Driver,Captive,375,0,74151,99396,7052,46,9,46,3,47,1,7455,-286,6,Medium,MiaMarissa,139,6,0,0,0,1.521963824,1,1
44,1,0,Post Graduate,Driver,Independent,637,4,96680,92244,0,40,10,36,1,44,2,6919,-443,1,High,PrinceWill,333,3,0,0,0,0.154241645,0,2
20,1,0,Graduate,Driver,Captive,164,0,83178,88222,5302,43,6,39,1,57,1,6617,74,4,High,RobertoJeremy,140,2,0,2,0,0.927536232,1,2
36,1,3,Graduate,Consultant,Independent,252,0,64390,76503,0,71,10,76,0,106,2,5738,-16,2,Low,KristopherRolando,404,3,0,2,1,0.430463576,2,1
54,1,31,Graduate,Teacher,Captive,543,4,56332,84107,7917,44,9,40,0,49,2,6309,-452,1,Low,KimberlyCasandra,500,6,0,5,0,0.185393258,1,1
44,1,25,Graduate,Pilot,Independent,275,6,79157,90599,0,54,6,49,3,66,2,6795,-59,5,Medium,MavisJanelle,282,8,0,0,0,0.869662921,1,2
59,1,23,Post Graduate,Architect,Independent,336,0,96025,80570,8137,59,9,57,3,68,2,6043,-89,2,Low,AhmedMisty,200,10,0,0,0,0.284603421,1,2
33,1,12,Post Graduate,Driver,Captive,226,7,84095,98068,8517,58,7,62,2,87,2,7356,-68,3,Medium,DorisTristan,207,10,2,0,0,0.640977444,2,1
46,2,12,Post Graduate,Engineer,Captive,578,9,57065,83858,0,94,9,86,0,115,2,6290,-245,4,Medium,PrinceWill,295,4,0,1,0,1.046025105,2,2
33,1,7,Graduate,Architect,Independent,523,0,77204,85213,6061,58,7,54,1,81,0,6391,-281,4,High,SpencerJarod,192,2,2,0,0,0.587912088,0,2
28,1,7,Post Graduate,Driver,Captive,414,10,55134,77149,5437,90,6,93,3,138,0,5787,-136,1,Low,DiegoJane,605,7,3,0,2,0.802005013,2,1
52,1,30,Post Graduate,Business,Independent,446,0,55745,93981,5544,84,7,87,2,129,0,7049,-99,3,Medium,MarcAlec,300,6,0,0,0,2.387559809,0,2
